game,genres,developer,score,likes
Metal Gear Solid 2: Sons of Liberty,"Action,Adventure,Modern",KCEJ,96,0
Grand Theft Auto: San Andreas,"Action,Adventure,Modern",RockstarNorth,95,1
Wolfenstein: The New Order,"General,Action,Shooter,First-Person,Historic,Arcade",BethesdaGameStudios,79,0
The Elder Scrolls V: Skyrim,"Role-Playing,First-Person,Western-Style",BethesdaGameStudios,92,1
Fallout 4,"General,Role-Playing,Western-Style",BethesdaGameStudios,87,0
Fallout 76,"Role-Playing,Western-Style",BethesdaGameStudios,49,0
The Legend of Zelda: Ocarina of Time,"Action,Adventure,Fantasy",Nintendo,99,0
The Legend of Zelda: Breath of the Wild,"Action,Adventure,Open-World",Nintendo,97,1
Resident Evil 4,"Action,Adventure,Horror",Capcom,96,1
The Legend of Zelda: The Wind Waker,"Action,Adventure,Fantasy",Nintendo,96,0
Gran Turismo,"Driving,Racing,GT / Street",PolyphonyDigital,70,0
BioShock,"Action,Shooter,First-Person,Sci-Fi,Arcade","IrrationalGames,2KMarin",96,1
Baldur's Gate II: Shadows of Amn,"Role-Playing,PC-style RPG,Western-Style",BioWare,79,0
Pro Evolution Soccer 2009,"Sports,Traditional,Team,Soccer,Sim",Konami,75,1
Nidhogg 2,"Action,General",Messhof,75,1
